title,author,date,views,likes,link
Mind-blowing stage sculptures that fuse music and technology,Es Devlin,April 2019,673000,20000,https://ted.com/talks/es_devlin_mind_blowing_stage_sculptures_that_fuse_music_and_technology
How supercharged plants could slow climate change,Joanne Chory,April 2019,2100000,64000,https://ted.com/talks/joanne_chory_how_supercharged_plants_could_slow_climate_change
Why is this painting so shocking?,Iseult Gillespie,April 2019,761000,22000,https://ted.com/talks/iseult_gillespie_why_is_this_painting_so_shocking
Why we ignore obvious problems and how to act on them,Michele Wucker,February 2019,2500000,75000,https://ted.com/talks/michele_wucker_why_we_ignore_obvious_problems_and_how_to_act_on_them
Three ideas. Three contradictions. Or not.,Hannah Gadsby,April 2019,3100000,95000,https://ted.com/talks/hannah_gadsby_three_ideas_three_contradictions_or_not
How does the stock market work?,Oliver Elfenbaum,April 2019,6000000,182000,https://ted.com/talks/oliver_elfenbaum_how_does_the_stock_market_work
Helping others makes us happier — but it matters how we do it,Elizabeth Dunn,April 2019,4099999,123000,https://ted.com/talks/elizabeth_dunn_helping_others_makes_us_happier_but_it_matters_how_we_do_it
Can you solve the cuddly duddly fuddly wuddly riddle?,Daniel Finkel,April 2019,2600000,79000,https://ted.com/talks/daniel_finkel_can_you_solve_the_cuddly_duddly_fuddly_wuddly_riddle
The surprising connection between brain injuries and crime,Kim Gorgens,June 2018,3400000,103000,https://ted.com/talks/kim_gorgens_the_surprising_connection_between_brain_injuries_and_crime
Titan of terror: the dark imagination of H.P. Lovecraft,Silvia Moreno-Garcia,April 2019,1900000,58000,https://ted.com/talks/silvia_moreno_garcia_titan_of_terror_the_dark_imagination_of_h_p_lovecraft
The hidden network that makes the internet possible,Sajan Saini,April 2019,814000,24000,https://ted.com/talks/sajan_saini_the_hidden_network_that_makes_the_internet_possible
The surprising reason our muscles get tired,Christian Moro,April 2019,4600000,138000,https://ted.com/talks/christian_moro_the_surprising_reason_our_muscles_get_tired
What is a butt tuba and why is it in medieval art?,Michelle Brown,April 2019,925000,27000,https://ted.com/talks/michelle_brown_what_is_a_butt_tuba_and_why_is_it_in_medieval_art
Turbulence: One of the great unsolved mysteries of physics,Tomás Chor,April 2019,1300000,39000,https://ted.com/talks/tomas_chor_turbulence_one_of_the_great_unsolved_mysteries_of_physics
Can we cure genetic diseases by rewriting DNA?,David R. Liu,April 2019,2300000,70000,https://ted.com/talks/david_r_liu_can_we_cure_genetic_diseases_by_rewriting_dna
How hip-hop helps us understand science,Danielle N. Lee,April 2019,2000000,61000,https://ted.com/talks/danielle_n_lee_how_hip_hop_helps_us_understand_science
Inside the black hole image that made history,Sheperd Doeleman,April 2019,3600000,108000,https://ted.com/talks/sheperd_doeleman_inside_the_black_hole_image_that_made_history
How Twitter needs to change,Jack Dorsey,April 2019,2300000,70000,https://ted.com/talks/jack_dorsey_how_twitter_needs_to_change
Facebook's role in Brexit and the threat to democracy,Carole Cadwalladr,April 2019,4300000,129000,https://ted.com/talks/carole_cadwalladr_facebook_s_role_in_brexit_and_the_threat_to_democracy
The wild world of carnivorous plants,Kenny Coogan,April 2019,1700000,52000,https://ted.com/talks/kenny_coogan_the_wild_world_of_carnivorous_plants
How risk-taking changes a teenager's brain,Kashfia Rahman,February 2019,2300000,71000,https://ted.com/talks/kashfia_rahman_how_risk_taking_changes_a_teenager_s_brain
Why are earthquakes so hard to predict?,Jean-Baptiste P. Koehl,April 2019,793000,23000,https://ted.com/talks/jean_baptiste_p_koehl_why_are_earthquakes_so_hard_to_predict
How to grow a glacier,M Jackson,April 2019,464000,13000,https://ted.com/talks/m_jackson_how_to_grow_a_glacier
The office without a**holes,WorkLife with Adam Grant,April 2019,19000,578,https://ted.com/talks/worklife_with_adam_grant_the_office_without_a_holes
How to spot a pyramid scheme ,Stacie Bosley,April 2019,5200000,156000,https://ted.com/talks/stacie_bosley_how_to_spot_a_pyramid_scheme
How does income affect childhood brain development?,Kimberly Noble,January 2019,2300000,70000,https://ted.com/talks/kimberly_noble_how_does_income_affect_childhood_brain_development
First Kiss',Tim Seibles,April 2019,455000,13000,https://ted.com/talks/tim_seibles_first_kiss
Let's think about archaeology on the moon,Alice Gorman,October 2018,52000,1500,https://ted.com/talks/alice_gorman_let_s_think_about_archaeology_on_the_moon
How I live with high-functioning anxiety,Jordan Raskopoulos,June 2017,1900000,57000,https://ted.com/talks/jordan_raskopoulos_how_i_live_with_high_functioning_anxiety
Where did the Moon come from? A new theory,Sarah T. Stewart,February 2019,3100000,93000,https://ted.com/talks/sarah_t_stewart_where_did_the_moon_come_from_a_new_theory
Reimagining gender inclusivity in sports,Jenna Weiner,February 2019,22000,684,https://ted.com/talks/jenna_weiner_reimagining_gender_inclusivity_in_sports
Why talent carries you further than fame,Maisie Williams,February 2019,4700000,142000,https://ted.com/talks/maisie_williams_why_talent_carries_you_further_than_fame
The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,February 2019,900000,27000,https://ted.com/talks/jordana_moore_saggese_the_chaotic_brilliance_of_artist_jean_michel_basquiat
Can you solve the jail break riddle?,Daniel Finkel,February 2019,3400000,103000,https://ted.com/talks/daniel_finkel_can_you_solve_the_jail_break_riddle
Why should you read sci-fi superstar Octavia E. Butler?,Ayana Jamieson and Moya Bailey,February 2019,350000,10000,https://ted.com/talks/ayana_jamieson_and_moya_bailey_why_should_you_read_sci_fi_superstar_octavia_e_butler
An unsung hero of the civil rights movement,Christina Greer,February 2019,404000,12000,https://ted.com/talks/christina_greer_an_unsung_hero_of_the_civil_rights_movement
Three ways the universe could end ,Venus Keus,February 2019,2000000,60000,https://ted.com/talks/venus_keus_three_ways_the_universe_could_end
The sexual deception of orchids,Anne Gaskett,February 2019,512000,15000,https://ted.com/talks/anne_gaskett_the_sexual_deception_of_orchids
Notes of a native son: the world according to James Baldwin,Christina Greer,February 2019,991000,29000,https://ted.com/talks/christina_greer_notes_of_a_native_son_the_world_according_to_james_baldwin
How one team turned a sprint project into a marathon success,Dropbox,February 2019,31000,947,https://ted.com/talks/dropbox_how_one_team_turned_a_sprint_project_into_a_marathon_success
What is consciousness?,Michael S. A. Graziano,February 2019,1200000,36000,https://ted.com/talks/michael_s_a_graziano_what_is_consciousness
Will there ever be a mile-high skyscraper? ,Stefan Al,February 2019,2200000,67000,https://ted.com/talks/stefan_al_will_there_ever_be_a_mile_high_skyscraper
Why should you read Shakespeare's 'The Tempest'?,Iseult Gillespie,February 2019,923000,27000,https://ted.com/talks/iseult_gillespie_why_should_you_read_shakespeare_s_the_tempest
How one journalist risked her life to hold murderers accountable,Christina Greer,February 2019,1000000,31000,https://ted.com/talks/christina_greer_how_one_journalist_risked_her_life_to_hold_murderers_accountable
8 lessons on building a company people enjoy working for,Patty McCord,February 2019,3600000,109000,https://ted.com/talks/patty_mccord_8_lessons_on_building_a_company_people_enjoy_working_for
Can you solve the multiplying rabbits riddle?,Alex Gendler,January 2019,2900000,89000,https://ted.com/talks/alex_gendler_can_you_solve_the_multiplying_rabbits_riddle
The biology of gender from DNA to the brain,Karissa Sanbonmatsu,November 2018,2600000,78000,https://ted.com/talks/karissa_sanbonmatsu_the_biology_of_gender_from_dna_to_the_brain
Can you solve the giant iron riddle? ,Alex Gendler,November 2018,2200000,67000,https://ted.com/talks/alex_gendler_can_you_solve_the_giant_iron_riddle
The myth of Sisyphus,Alex Gendler,November 2018,6100000,184000,https://ted.com/talks/alex_gendler_the_myth_of_sisyphus
My journey to thank all the people responsible for my morning coffee,A.J. Jacobs,June 2018,3300000,100000,https://ted.com/talks/a_j_jacobs_my_journey_to_thank_all_the_people_responsible_for_my_morning_coffee
What scorpions can teach us about brain tumors,Lauren Esposito,October 2018,3100,94,https://ted.com/talks/lauren_esposito_what_scorpions_can_teach_us_about_brain_tumors
The myth of Hercules,Alex Gendler,September 2018,6000000,182000,https://ted.com/talks/alex_gendler_the_myth_of_hercules
Shouldn't sports be color-blind?,Patrick Ferrucci,June 2018,40000,1200,https://ted.com/talks/patrick_ferrucci_shouldn_t_sports_be_color_blind
How does impeachment work?,Alex Gendler,August 2017,1900000,59000,https://ted.com/talks/alex_gendler_how_does_impeachment_work
The left brain vs. right brain myth,Elizabeth Waters,July 2017,896000,26000,https://ted.com/talks/elizabeth_waters_the_left_brain_vs_right_brain_myth
Can you solve the rebel supplies riddle?,Alex Gendler,September 2018,2300000,70000,https://ted.com/talks/alex_gendler_can_you_solve_the_rebel_supplies_riddle
How data is helping us unravel the mysteries of the brain,Steve McCarroll,November 2017,1500000,47000,https://ted.com/talks/steve_mccarroll_how_data_is_helping_us_unravel_the_mysteries_of_the_brain
How we can use light to see deep inside our bodies and brains,Mary Lou Jepsen,April 2018,863000,25000,https://ted.com/talks/mary_lou_jepsen_how_we_can_use_light_to_see_deep_inside_our_bodies_and_brains
Zen koans: unsolvable enigmas designed to break your brain,Puqun Li,August 2018,2800000,86000,https://ted.com/talks/puqun_li_zen_koans_unsolvable_enigmas_designed_to_break_your_brain
What we'll learn about the brain in the next century,Sam Rodriques,November 2017,1700000,51000,https://ted.com/talks/sam_rodriques_what_we_ll_learn_about_the_brain_in_the_next_century
How a dragonfly's brain is designed to kill,Greg Gage,June 2018,1300000,39000,https://ted.com/talks/greg_gage_how_a_dragonfly_s_brain_is_designed_to_kill
Can I have your brain? The quest for truth on concussions and CTE,Chris Nowinski,November 2017,1100000,35000,https://ted.com/talks/chris_nowinski_can_i_have_your_brain_the_quest_for_truth_on_concussions_and_cte
The brain-changing benefits of exercise,Wendy Suzuki,November 2017,14000000,426000,https://ted.com/talks/wendy_suzuki_the_brain_changing_benefits_of_exercise
How our brains will keep up with AI,Bruno Michel,December 2017,7700,233,https://ted.com/talks/bruno_michel_how_our_brains_will_keep_up_with_ai
How does the brain work in everyday situations?,Tan Le,September 2014,71000,2100,https://ted.com/talks/tan_le_how_does_the_brain_work_in_everyday_situations
Why the brain is simpler than we think,James Kozloski,November 2016,8200,246,https://ted.com/talks/james_kozloski_why_the_brain_is_simpler_than_we_think
How we can stop Africa's scientific brain drain,Kevin Njabo,August 2017,998000,29000,https://ted.com/talks/kevin_njabo_how_we_can_stop_africa_s_scientific_brain_drain
You aren't at the mercy of your emotions your brain creates them,Lisa Feldman Barrett,December 2017,6400000,193000,https://ted.com/talks/lisa_feldman_barrett_you_aren_t_at_the_mercy_of_your_emotions_your_brain_creates_them
Huellas de la discriminacion,Alex Apella,November 2017,56000,1600,https://ted.com/talks/alex_apella_huellas_de_la_discriminacion
The brain benefits of deep sleep and how to get more of it,Dan Gartenberg,June 2017,4300000,131000,https://ted.com/talks/dan_gartenberg_the_brain_benefits_of_deep_sleep_and_how_to_get_more_of_it
The awful logic of land mines — and an app that helps people avoid them,Carlos Bautista,June 2017,1000000,30000,https://ted.com/talks/carlos_bautista_the_awful_logic_of_land_mines_and_an_app_that_helps_people_avoid_them
3 fears about screen time for kids and why they're not true,Sara DeWitt,April 2017,1800000,54000,https://ted.com/talks/sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true
The warmth and wisdom of mud buildings,Anna Heringer,April 2017,1100000,35000,https://ted.com/talks/anna_heringer_the_warmth_and_wisdom_of_mud_buildings
What would happen if we upload our brains to computers?,Robin Hanson,April 2017,1400000,44000,https://ted.com/talks/robin_hanson_what_would_happen_if_we_upload_our_brains_to_computers
How your brain decides what is beautiful,Anjan Chatterjee,November 2016,2900000,89000,https://ted.com/talks/anjan_chatterjee_how_your_brain_decides_what_is_beautiful
Your brain hallucinates your conscious reality,Anil Seth,April 2017,12000000,382000,https://ted.com/talks/anil_seth_your_brain_hallucinates_your_conscious_reality
What happens in your brain when you pay attention?,Mehdi Ordikhani-Seyedlar,April 2017,3400000,102000,https://ted.com/talks/mehdi_ordikhani_seyedlar_what_happens_in_your_brain_when_you_pay_attention
Can you solve the pirate riddle?,Alex Gendler,May 2017,9100000,274000,https://ted.com/talks/alex_gendler_can_you_solve_the_pirate_riddle
A video game to cope with grief,Amy Green,February 2017,1700000,53000,https://ted.com/talks/amy_green_a_video_game_to_cope_with_grief
Can you solve the three gods riddle?,Alex Gendler,February 2017,11000000,341000,https://ted.com/talks/alex_gendler_can_you_solve_the_three_gods_riddle
Are you a giver or a taker?,Adam Grant,November 2016,9200000,276000,https://ted.com/talks/adam_grant_are_you_a_giver_or_a_taker
A new way to study the brain's invisible secrets,Ed Boyden,June 2016,1500000,47000,https://ted.com/talks/ed_boyden_a_new_way_to_study_the_brain_s_invisible_secrets
How playing sports benefits your body... and your brain,Leah Lagos and Jaspal Ricky Singh,June 2016,1700000,51000,https://ted.com/talks/leah_lagos_and_jaspal_ricky_singh_how_playing_sports_benefits_your_body_and_your_brain
How the food you eat affects your brain,Mia Nacamulli,June 2016,12000000,381000,https://ted.com/talks/mia_nacamulli_how_the_food_you_eat_affects_your_brain
The psychology behind irrational decisions,Sara Garofalo,May 2016,2100000,63000,https://ted.com/talks/sara_garofalo_the_psychology_behind_irrational_decisions
An artist's unflinching look at racial violence,Sanford Biggers,February 2016,1200000,37000,https://ted.com/talks/sanford_biggers_an_artist_s_unflinching_look_at_racial_violence
This is your brain on communication,Uri Hasson,February 2016,3100000,94000,https://ted.com/talks/uri_hasson_this_is_your_brain_on_communication
The surprising habits of original thinkers,Adam Grant,February 2016,19000000,588000,https://ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers
How to get back to work after a career break,Carol Fishman Cohen,November 2015,3600000,108000,https://ted.com/talks/carol_fishman_cohen_how_to_get_back_to_work_after_a_career_break
The case for optimism on climate change,Al Gore,February 2016,2200000,68000,https://ted.com/talks/al_gore_the_case_for_optimism_on_climate_change
The brain may be able to repair itself — with help,Jocelyne Bloch,December 2015,3400000,102000,https://ted.com/talks/jocelyne_bloch_the_brain_may_be_able_to_repair_itself_with_help
History vs. Napoleon Bonaparte,Alex Gendler,February 2016,4500000,136000,https://ted.com/talks/alex_gendler_history_vs_napoleon_bonaparte
Why the octopus brain is so extraordinary,Claudio Guerra,December 2015,4900000,148000,https://ted.com/talks/claudio_guerra_why_the_octopus_brain_is_so_extraordinary
How stress affects your brain,Madhumita Murgia,November 2015,5600000,169000,https://ted.com/talks/madhumita_murgia_how_stress_affects_your_brain
When you shouldn't follow the rules,Laura Lane,September 2015,51000,1500,https://ted.com/talks/laura_lane_when_you_shouldn_t_follow_the_rules
You can grow new brain cells. Here's how,Sandrine Thuret,June 2015,12000000,360000,https://ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how
Can you solve the prisoner hat riddle?,Alex Gendler,October 2015,24000000,723000,https://ted.com/talks/alex_gendler_can_you_solve_the_prisoner_hat_riddle
Can you solve the bridge riddle?,Alex Gendler,September 2015,19000000,590000,https://ted.com/talks/alex_gendler_can_you_solve_the_bridge_riddle
What happened when I open-sourced my brain cancer,Salvatore Iaconesi,June 2013,1100000,35000,https://ted.com/talks/salvatore_iaconesi_what_happened_when_i_open_sourced_my_brain_cancer
The benefits of a bilingual brain,Mia Nacamulli,June 2015,13000000,415000,https://ted.com/talks/mia_nacamulli_the_benefits_of_a_bilingual_brain
Can you solve the famously difficult green-eyed logic puzzle?,Alex Gendler,June 2015,13000000,406000,https://ted.com/talks/alex_gendler_can_you_solve_the_famously_difficult_green_eyed_logic_puzzle
The wars that inspired Game of Thrones,Alex Gendler,May 2015,5800000,174000,https://ted.com/talks/alex_gendler_the_wars_that_inspired_game_of_thrones
How to control someone else's arm with your brain,Greg Gage,March 2015,12000000,387000,https://ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain
Could your brain repair itself?,Ralitsa Petrova,April 2015,800000,24000,https://ted.com/talks/ralitsa_petrova_could_your_brain_repair_itself
Brain-to-brain communication has arrived. How we did it,Miguel Nicolelis,October 2014,1400000,43000,https://ted.com/talks/miguel_nicolelis_brain_to_brain_communication_has_arrived_how_we_did_it
The evolution of the human eye,Joshua Harvey,January 2015,1300000,39000,https://ted.com/talks/joshua_harvey_the_evolution_of_the_human_eye
What is a gift economy?,Alex Gendler,December 2014,422000,12000,https://ted.com/talks/alex_gendler_what_is_a_gift_economy
How can companies continue to thrive in times of change?,Patrick Forth,October 2014,41000,1200,https://ted.com/talks/patrick_forth_how_can_companies_continue_to_thrive_in_times_of_change
Restoring hope and dignity to the justice system,Alexander McLean,November 2014,7400,222,https://ted.com/talks/alexander_mclean_restoring_hope_and_dignity_to_the_justice_system
Why elephants never forget,Alex Gendler,November 2014,8000000,242000,https://ted.com/talks/alex_gendler_why_elephants_never_forget
Should you donate differently?,Joy Sun,July 2014,1300000,40000,https://ted.com/talks/joy_sun_should_you_donate_differently
History vs. Christopher Columbus,Alex Gendler,October 2014,4200000,126000,https://ted.com/talks/alex_gendler_history_vs_christopher_columbus
How optical illusions trick your brain,Nathan S. Jacobs,August 2014,1100000,35000,https://ted.com/talks/nathan_s_jacobs_how_optical_illusions_trick_your_brain
How playing an instrument benefits your brain,Anita Collins,July 2014,12000000,369000,https://ted.com/talks/anita_collins_how_playing_an_instrument_benefits_your_brain
The world's largest family reunion ... we're all invited!,A.J. Jacobs,March 2014,1300000,39000,https://ted.com/talks/a_j_jacobs_the_world_s_largest_family_reunion_we_re_all_invited
How does your brain respond to pain?,Karen D. Davis,June 2014,2500000,75000,https://ted.com/talks/karen_d_davis_how_does_your_brain_respond_to_pain
What ants teach us about the brain cancer and the Internet,Deborah Gordon,March 2014,1500000,45000,https://ted.com/talks/deborah_gordon_what_ants_teach_us_about_the_brain_cancer_and_the_internet
How sampling transformed music,Mark Ronson,March 2014,4800000,146000,https://ted.com/talks/mark_ronson_how_sampling_transformed_music
How tsunamis work,Alex Gendler,April 2014,7600000,228000,https://ted.com/talks/alex_gendler_how_tsunamis_work
Could future devices read images from our brains?,Mary Lou Jepsen,March 2013,1000000,31000,https://ted.com/talks/mary_lou_jepsen_could_future_devices_read_images_from_our_brains
Why do we cry? The three types of tears,Alex Gendler,February 2014,6500000,196000,https://ted.com/talks/alex_gendler_why_do_we_cry_the_three_types_of_tears
Can the damaged brain repair itself?,Siddharthan Chandran,July 2013,1500000,46000,https://ted.com/talks/siddharthan_chandran_can_the_damaged_brain_repair_itself
What percentage of your brain do you use?,Richard E. Cytowic,January 2014,3900000,118000,https://ted.com/talks/richard_e_cytowic_what_percentage_of_your_brain_do_you_use
How sugar affects the brain,Nicole Avena,January 2014,13000000,401000,https://ted.com/talks/nicole_avena_how_sugar_affects_the_brain
What is so special about the human brain?,Suzana Herculano-Houzel,June 2013,3300000,101000,https://ted.com/talks/suzana_herculano_houzel_what_is_so_special_about_the_human_brain
The polyphonic me,Beardyman,February 2013,2700000,81000,https://ted.com/talks/beardyman_the_polyphonic_me
Myths and misconceptions about evolution,Alex Gendler,July 2013,2600000,79000,https://ted.com/talks/alex_gendler_myths_and_misconceptions_about_evolution
If superpowers were real: Invisibility,Joy Lin,June 2013,1400000,42000,https://ted.com/talks/joy_lin_if_superpowers_were_real_invisibility
If superpowers were real: Flight,Joy Lin,June 2013,2100000,65000,https://ted.com/talks/joy_lin_if_superpowers_were_real_flight
If superpowers were real: Immortality,Joy Lin,June 2013,5200000,157000,https://ted.com/talks/joy_lin_if_superpowers_were_real_immortality
If superpowers were real: Super strength,Joy Lin,June 2013,2100000,64000,https://ted.com/talks/joy_lin_if_superpowers_were_real_super_strength
If superpowers were real: Super speed,Joy Lin,June 2013,1900000,57000,https://ted.com/talks/joy_lin_if_superpowers_were_real_super_speed
If superpowers were real: Body mass,Joy Lin,June 2013,1400000,43000,https://ted.com/talks/joy_lin_if_superpowers_were_real_body_mass
When you're making a deal what's going on in your brain?,Colin Camerer,January 2013,1500000,47000,https://ted.com/talks/colin_camerer_when_you_re_making_a_deal_what_s_going_on_in_your_brain
One very dry demo,Mark Shaw,February 2013,1600000,49000,https://ted.com/talks/mark_shaw_one_very_dry_demo
Your brain is more than a bag of chemicals,David Anderson,January 2013,1500000,47000,https://ted.com/talks/david_anderson_your_brain_is_more_than_a_bag_of_chemicals
Your brain on video games,Daphne Bavelier,June 2012,8700000,262000,https://ted.com/talks/daphne_bavelier_your_brain_on_video_games
Diagnosing a zombie: Brain and body (Part one),Bradley Voytek and Tim Verstynen,October 2012,706000,21000,https://ted.com/talks/bradley_voytek_and_tim_verstynen_diagnosing_a_zombie_brain_and_body_part_one
What we're learning from 5000 brains,Read Montague,June 2012,794000,23000,https://ted.com/talks/read_montague_what_we_re_learning_from_5_000_brains
The mysterious workings of the adolescent brain,Sarah-Jayne Blakemore,June 2012,3700000,111000,https://ted.com/talks/sarah_jayne_blakemore_the_mysterious_workings_of_the_adolescent_brain
Energy from floating algae pods,Jonathan Trent,June 2012,1100000,33000,https://ted.com/talks/jonathan_trent_energy_from_floating_algae_pods
(Re)touching lives through photos,Becci Manson,June 2012,880000,26000,https://ted.com/talks/becci_manson_re_touching_lives_through_photos
Are we over-medicalized?,Ivan Oransky,April 2012,717000,21000,https://ted.com/talks/ivan_oransky_are_we_over_medicalized
How to look inside the brain,Carl Schoonover,February 2012,990000,29000,https://ted.com/talks/carl_schoonover_how_to_look_inside_the_brain
Non-lethal weapons a moral hazard?,Stephen Coleman,September 2011,549000,16000,https://ted.com/talks/stephen_coleman_non_lethal_weapons_a_moral_hazard
How your brain tells you where you are,Neil Burgess,November 2011,1500000,46000,https://ted.com/talks/neil_burgess_how_your_brain_tells_you_where_you_are
How healthy living nearly killed me,A.J. Jacobs,October 2011,2100000,65000,https://ted.com/talks/a_j_jacobs_how_healthy_living_nearly_killed_me
A map of the brain,Allan Jones,July 2011,1300000,41000,https://ted.com/talks/allan_jones_a_map_of_the_brain
The real reason for brains,Daniel Wolpert,July 2011,2100000,63000,https://ted.com/talks/daniel_wolpert_the_real_reason_for_brains
The divided brain,Iain McGilchrist,October 2011,741000,22000,https://ted.com/talks/iain_mcgilchrist_the_divided_brain
Visualizing ourselves ... with crowd-sourced data,Aaron Koblin,March 2011,1800000,54000,https://ted.com/talks/aaron_koblin_visualizing_ourselves_with_crowd_sourced_data
Looking past limits,Caroline Casey,December 2010,2400000,73000,https://ted.com/talks/caroline_casey_looking_past_limits
Don't insist on English!,Patricia Ryan,December 2010,2400000,72000,https://ted.com/talks/patricia_ryan_don_t_insist_on_english
Know thyself with a brain scanner,Ariel Garten,September 2011,508000,15000,https://ted.com/talks/ariel_garten_know_thyself_with_a_brain_scanner
Your brain on improv,Charles Limb,November 2010,1400000,42000,https://ted.com/talks/charles_limb_your_brain_on_improv
Protecting the brain against concussion,Kim Gorgens,May 2010,549000,16000,https://ted.com/talks/kim_gorgens_protecting_the_brain_against_concussion
America's native prisoners of war,Aaron Huey,September 2010,1900000,57000,https://ted.com/talks/aaron_huey_america_s_native_prisoners_of_war
Re-engineering the brain,Gero Miesenboeck,July 2010,755000,22000,https://ted.com/talks/gero_miesenboeck_re_engineering_the_brain
7 ways games reward the brain,Tom Chatfield,July 2010,1300000,40000,https://ted.com/talks/tom_chatfield_7_ways_games_reward_the_brain
The brain in your gut,Heribert Watzke,July 2010,1800000,54000,https://ted.com/talks/heribert_watzke_the_brain_in_your_gut
A headset that reads your brainwaves,Tan Le,July 2010,2800000,84000,https://ted.com/talks/tan_le_a_headset_that_reads_your_brainwaves
How brains learn to see,Pawan Sinha,November 2009,965000,28000,https://ted.com/talks/pawan_sinha_how_brains_learn_to_see
The year I was homeless,Becky  Blanton,July 2009,1300000,40000,https://ted.com/talks/becky_blanton_the_year_i_was_homeless
A brain in a supercomputer,Henry Markram,July 2009,1500000,46000,https://ted.com/talks/henry_markram_a_brain_in_a_supercomputer
3 ways the brain creates meaning,Tom Wujec,February 2009,1200000,38000,https://ted.com/talks/tom_wujec_3_ways_the_brain_creates_meaning
How cults rewire the brain,Diane Benscoter,February 2009,1300000,39000,https://ted.com/talks/diane_benscoter_how_cults_rewire_the_brain
What comes after An Inconvenient Truth?,Al Gore,February 2009,1000000,30000,https://ted.com/talks/al_gore_what_comes_after_an_inconvenient_truth
Growing evidence of brain plasticity,Michael Merzenich,February 2004,1500000,47000,https://ted.com/talks/michael_merzenich_growing_evidence_of_brain_plasticity
What I'm worried about what I'm excited about,Bill Joy,February 2006,585000,17000,https://ted.com/talks/bill_joy_what_i_m_worried_about_what_i_m_excited_about
A computer that works like the brain,Kwabena Boahen,June 2007,749000,22000,https://ted.com/talks/kwabena_boahen_a_computer_that_works_like_the_brain
Brain magic,Keith Barry,February 2004,18000000,559000,https://ted.com/talks/keith_barry_brain_magic
My year of living biblically,A.J. Jacobs,December 2007,3000000,90000,https://ted.com/talks/a_j_jacobs_my_year_of_living_biblically
The brain in love,Helen Fisher,February 2008,7000000,212000,https://ted.com/talks/helen_fisher_the_brain_in_love
How the news distorts our worldview,Alisa Miller,March 2008,2200000,68000,https://ted.com/talks/alisa_miller_how_the_news_distorts_our_worldview
A thought experiment on the intelligence of crows,Joshua Klein,March 2008,2700000,82000,https://ted.com/talks/joshua_klein_a_thought_experiment_on_the_intelligence_of_crows
New thinking on the climate crisis,Al Gore,March 2008,2200000,68000,https://ted.com/talks/al_gore_new_thinking_on_the_climate_crisis
Questioning the universe,Stephen Hawking,February 2008,13000000,401000,https://ted.com/talks/stephen_hawking_questioning_the_universe
A look inside the brain in real time,Christopher deCharms,February 2008,2000000,62000,https://ted.com/talks/christopher_decharms_a_look_inside_the_brain_in_real_time
3 clues to understanding your brain,VS Ramachandran,March 2007,5400000,162000,https://ted.com/talks/vs_ramachandran_3_clues_to_understanding_your_brain
Tour Microsoft's Virtual Earth,Stephen Lawler,March 2007,350000,10000,https://ted.com/talks/stephen_lawler_tour_microsoft_s_virtual_earth
How brain science will change computing,Jeff Hawkins,February 2003,1700000,52000,https://ted.com/talks/jeff_hawkins_how_brain_science_will_change_computing
Simple designs to save a life,Amy Smith,February 2006,1800000,54000,https://ted.com/talks/amy_smith_simple_designs_to_save_a_life
Averting the climate crisis,Al Gore,February 2006,3600000,109000,https://ted.com/talks/al_gore_averting_the_climate_crisis
Back to the future (of 1994),Danny Hillis,February 1994,699000,20000,https://ted.com/talks/danny_hillis_back_to_the_future_of_1994
Why not make video games for girls?,Brenda Laurel,February 1998,483000,14000,https://ted.com/talks/brenda_laurel_why_not_make_video_games_for_girls
Using design to make ideas new,Milton Glaser,February 1998,488000,14000,https://ted.com/talks/milton_glaser_using_design_to_make_ideas_new
Changing my legs - and my mindset,Aimee Mullins,February 1998,1300000,41000,https://ted.com/talks/aimee_mullins_changing_my_legs_and_my_mindset
Nature vs. humans,Paul MacCready,February 1998,239000,7100,https://ted.com/talks/paul_maccready_nature_vs_humans
Life in the deep oceans,David Gallo,February 1998,1100000,34000,https://ted.com/talks/david_gallo_life_in_the_deep_oceans
On technology and faith,Billy Graham,February 1998,3800000,116000,https://ted.com/talks/billy_graham_on_technology_and_faith
